,Ozone,Solar.R,Wind,Month,Day,Year,Temp,Weather
1,41,190,7.4,5,1,2010,67,S
2,36,118,8,5,2,2010,72,C
3,12,149,12.6,5,3,2010,74,PS
4,18,313,11.5,5,4,2010,62,S
5,NA,NA,14.3,5,5,2010,56,S
6,28,NA,14.9,5,6,2010,66,C
7,23,299,8.6,5,7,2010,65,PS
8,19,99,13.8,5,8,2010,59,C
9,8,19,20.1,5,9,2010,61,PS
10,NA,194,8.6,5,10,2010,69,S
11,7,NA,6.9,5,11,2010,74,C
12,16,256,9.7,5,12,2010,69,PS
13,11,290,9.2,5,13,2010,66,S
14,14,274,10.9,5,14,2010,68,S
15,18,65,13.2,5,15,2010,58,C
16,14,334,11.5,5,16,2010,64,S
17,34,307,12,5,17,2010,66,S
18,6,78,18.4,5,18,2010,57,C
19,30,322,11.5,5,19,2010,68,PS
20,11,44,9.7,5,20,2010,62,S
21,1,8,9.7,5,21,2010,59,S
22,11,320,16.6,5,22,2010,73,C
23,4,25,9.7,5,23,2010,61,PS
24,32,92,12,May,24,2010,61,C
25,NA,66,16.6,5,25,2010,57,PS
26,NA,266,14.9,5,26,2010,58,C
27,NA,NA,8,5,27,2010,57,PS
28,23,13,12,5,28,2010,67,S
29,45,252,14.9,5,29,2010,81,S
30,115,223,5.7,5,30,2010,79,C
31,37,279,7.4,5,31,2010,76,PS
32,NA,286,8.6,6,1,2010,78,S
33,NA,287,9.7,6,2,2010,74,C
34,NA,242,16.1,6,3,2010,67,PS
35,NA,186,9.2,6,4,2010,84,C
36,NA,220,8.6,6,5,2010,85,PS
37,NA,264,14.3,6,6,2010,79,C
38,29,127,9.7,6,7,2010,82,PS
39,NA,273,6.9,6,8,2010,87,S
40,71,291,13.8,6,9,2010,90,S
41,39,323,11.5,6,10,2010,87,S
42,NA,259,10.9,6,11,2010,93,C
43,NA,250,9.2,6,12,2010,92,PS
44,23,148,8,6,13,2010,82,S
45,NA,332,13.8,6,14,2010,80,S
46,NA,322,11.5,6,15,2010,79,C
47,21,191,14.9,6,16,2010,77,PS
48,37,284,20.7,6,17,2010,72,C
49,20,37,9.2,6,18,2010,65,PS
50,12,120,11.5,6,19,2010,73,S
51,13,137,10.3,6,20,2010,76,S
52,NA,150,6.3,6,21,2010,77,S
53,NA,59,1.7,6,22,2010,76,C
54,NA,91,4.6,6,23,2010,76,PS
55,NA,250,6.3,6,24,2010,76,S
56,NA,135,8,6,25,2010,75,C
57,NA,127,8,6,26,2010,78,PS
58,NA,47,10.3,6,27,2010,73,C
59,NA,98,11.5,6,28,2010,80,PS
60,NA,31,14.9,6,29,2010,77,S
61,NA,138,8,6,30,2010,83,S
62,135,269,4.1,7,1,2010,84,S
63,49,248,9.2,7,2,2010,85,C
64,32,236,9.2,7,3,2010,81,PS
